method,r2,rmse,mae,train_end,test_month_start,test_month_end,n_train,n_test,city,pollutant,variant
baseline_global_mean,-0.023409422681768488,4.8020741529206585,3.9572192580645162,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,no_impervious
baseline_persistence,0.09059542665982911,4.526710528916928,3.307579725806451,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,no_impervious
model_random_forest,0.6656148681443484,2.744907006637244,2.169341005476396,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,no_impervious
model_hist_gradient_boosting,0.6616361524500742,2.7611889950242032,2.1921229500533768,2022-12-01,2022-12-01,2023-01-01,795,62,milwaukee,no2,no_impervious
baseline_global_mean,-0.8178702150133303,5.4275465624092885,4.954064858781361,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,multiscale_land_use
baseline_persistence,0.23086062572330368,3.5304059243459416,2.6058975483870968,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,multiscale_land_use
model_random_forest,0.38224377225573425,3.1639578343793175,2.7303489558915857,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.43632573541865727,3.022290627630209,2.479063172201213,2022-05-01,2022-05-01,2022-06-01,240,93,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.09727840447880998,5.456288743073284,4.894863945338597,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,multiscale_land_use
baseline_persistence,0.36875280945482125,4.138459009569174,3.0152859325842694,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,multiscale_land_use
model_random_forest,0.7790224515163336,2.4485727077904027,1.8256384068428178,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.7531705489067173,2.587839976960618,1.9347307780299219,2022-06-01,2022-06-01,2022-07-01,333,89,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.2382347528540214,4.786857289670278,4.340706627936603,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,multiscale_land_use
baseline_persistence,0.5362437192989087,2.9295025999304727,2.1044161075268817,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,multiscale_land_use
model_random_forest,0.8541086902067095,1.6430988711304948,1.2061984241710988,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.8287722504728594,1.7800658151214992,1.2913823546585372,2022-07-01,2022-07-01,2022-08-01,422,93,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.12149510944919806,4.608146407244927,4.097213128619671,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,multiscale_land_use
baseline_persistence,0.6273936646665284,2.656150593091655,2.115138847826087,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,multiscale_land_use
model_random_forest,0.8622897397929798,1.6147702004601805,1.2196847992382747,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.8654505126191352,1.5961312497377997,1.2240904400477393,2022-08-01,2022-08-01,2022-09-01,515,92,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.00524991733547453,5.456589125044116,4.503169729868703,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,multiscale_land_use
baseline_persistence,0.522827263239706,3.7594303334322574,2.925938878787879,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,multiscale_land_use
model_random_forest,0.7261656232153779,2.847922810341236,2.207047944027488,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,multiscale_land_use
model_hist_gradient_boosting,0.7650911397137576,2.6377518056427656,1.9824869735295552,2022-09-01,2022-09-01,2022-10-01,607,66,milwaukee,no2,multiscale_land_use
baseline_global_mean,-0.10873919484404082,6.038927784545501,4.666024887096773,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,multiscale_land_use
baseline_persistence,0.396139334752443,4.456701084910866,3.5733860161290325,2022-10-01,2022-10-01,2022-11-01,673,62,milwaukee,no2,multiscale_land_use
